year,type,value,continent
2016,both,7.108510638297871,Asia
2016,male,10.455319148936173,Asia
2016,female,3.608510638297872,Asia
2015,both,7.195744680851065,Asia
2015,male,10.544680851063827,Asia
2015,female,3.7000000000000006,Asia
2014,both,7.289361702127661,Asia
2014,male,10.636170212765958,Asia
2014,female,3.770212765957446,Asia
2013,both,7.5085106382978735,Asia
2013,male,10.880851063829788,Asia
2013,female,3.9382978723404243,Asia
2012,both,7.699999999999999,Asia
2012,male,11.172340425531912,Asia
2012,female,4.042553191489361,Asia
2011,both,7.912765957446808,Asia
2011,male,11.448936170212765,Asia
2011,female,4.170212765957445,Asia
2010,both,8.080851063829785,Asia
2010,male,11.655319148936169,Asia
2010,female,4.2957446808510635,Asia
2009,both,8.146808510638296,Asia
2009,male,11.808510638297872,Asia
2009,female,4.291489361702127,Asia
2008,both,8.06595744680851,Asia
2008,male,11.66808510638298,Asia
2008,female,4.242553191489364,Asia
2007,both,8.23404255319149,Asia
2007,male,11.929787234042553,Asia
2007,female,4.359574468085106,Asia
2006,both,8.157446808510636,Asia
2006,male,11.829787234042554,Asia
2006,female,4.340425531914893,Asia
2005,both,8.504255319148935,Asia
2005,male,12.253191489361704,Asia
2005,female,4.629787234042554,Asia
2004,both,8.348936170212765,Asia
2004,male,12.138297872340427,Asia
2004,female,4.446808510638299,Asia
2003,both,8.310638297872341,Asia
2003,male,12.055319148936169,Asia
2003,female,4.465957446808511,Asia
2002,both,8.23191489361702,Asia
2002,male,11.865957446808512,Asia
2002,female,4.482978723404255,Asia
2001,both,8.206382978723406,Asia
2001,male,11.848936170212768,Asia
2001,female,4.4553191489361685,Asia
2000,both,8.41276595744681,Asia
2000,male,12.061702127659576,Asia
2000,female,4.672340425531914,Asia
2019,both,6.3125,North America
2019,male,9.9375,North America
2019,female,2.7687500000000007,North America
2018,both,6.18125,North America
2018,male,9.712500000000002,North America
2018,female,2.7375000000000007,North America
2017,both,6.162500000000001,North America
2017,male,9.75625,North America
2017,female,2.7000000000000006,North America
2016,both,6.04375,North America
2016,male,9.39375,North America
2016,female,2.7750000000000004,North America
2015,both,6.3625,North America
2015,male,9.99375,North America
2015,female,2.8312499999999994,North America
2014,both,6.025,North America
2014,male,9.28125,North America
2014,female,2.8437499999999996,North America
2013,both,6.143750000000001,North America
2013,male,9.7,North America
2013,female,2.6812499999999995,North America
2012,both,6.35625,North America
2012,male,9.856250000000001,North America
2012,female,2.90625,North America
2011,both,6.500000000000001,North America
2011,male,10.2375,North America
2011,female,2.85625,North America
2010,both,6.33125,North America
2010,male,9.9875,North America
2010,female,2.78125,North America
2009,both,6.206249999999999,North America
2009,male,9.78125,North America
2009,female,2.73125,North America
2008,both,6.10625,North America
2008,male,9.59375,North America
2008,female,2.7,North America
2007,both,6.35625,North America
2007,male,10.112499999999999,North America
2007,female,2.6750000000000007,North America
2006,both,6.6812499999999995,North America
2006,male,10.725,North America
2006,female,2.7562499999999996,North America
2005,both,6.90625,North America
2005,male,10.937499999999998,North America
2005,female,2.9562500000000007,North America
2004,both,6.7375,North America
2004,male,10.625,North America
2004,female,2.9499999999999997,North America
2003,both,6.54375,North America
2003,male,10.2,North America
2003,female,2.94375,North America
2002,both,6.424999999999999,North America
2002,male,10.04375,North America
2002,female,2.8874999999999997,North America
2001,both,6.35625,North America
2001,male,9.89375,North America
2001,female,2.9124999999999996,North America
2000,both,6.687500000000001,North America
2000,male,10.55625,North America
2000,female,2.925,North America
2019,both,10.52142857142857,South America
2019,male,16.557142857142857,South America
2019,female,4.55,South America
2018,both,10.585714285714285,South America
2018,male,16.65,South America
2018,female,4.564285714285715,South America
2017,both,10.592857142857142,South America
2017,male,16.657142857142855,South America
2017,female,4.578571428571428,South America
2016,both,10.435714285714285,South America
2016,male,16.414285714285715,South America
2016,female,4.55,South America
2015,both,10.400000000000002,South America
2015,male,16.378571428571426,South America
2015,female,4.542857142857143,South America
2014,both,10.400000000000002,South America
2014,male,16.5,South America
2014,female,4.378571428571429,South America
2013,both,10.314285714285717,South America
2013,male,16.207142857142856,South America
2013,female,4.521428571428571,South America
2012,both,10.307142857142855,South America
2012,male,16.24285714285714,South America
2012,female,4.514285714285714,South America
2011,both,9.978571428571428,South America
2011,male,15.685714285714287,South America
2011,female,4.385714285714285,South America
2010,both,10.114285714285714,South America
2010,male,15.835714285714287,South America
2010,female,4.5,South America
2009,both,10.142857142857142,South America
2009,male,15.664285714285711,South America
2009,female,4.7,South America
2008,both,10.092857142857143,South America
2008,male,15.771428571428572,South America
2008,female,4.478571428571429,South America
2007,both,9.971428571428572,South America
2007,male,15.564285714285713,South America
2007,female,4.485714285714287,South America
2006,both,9.871428571428572,South America
2006,male,15.385714285714284,South America
2006,female,4.435714285714286,South America
2005,both,9.878571428571432,South America
2005,male,15.342857142857143,South America
2005,female,4.442857142857142,South America
2004,both,10.042857142857143,South America
2004,male,15.750000000000002,South America
2004,female,4.449999999999999,South America
2003,both,10.192857142857145,South America
2003,male,15.935714285714283,South America
2003,female,4.507142857142857,South America
2002,both,10.721428571428572,South America
2002,male,16.857142857142858,South America
2002,female,4.671428571428572,South America
2001,both,10.428571428571429,South America
2001,male,16.385714285714283,South America
2001,female,4.564285714285715,South America
2000,both,9.935714285714285,South America
2000,male,15.700000000000001,South America
2000,female,4.2785714285714285,South America
